island-id,clust-area,predation,adult-predation,chick-predation,diffusion-prop,prop-suitability,low-lambda,high-lambda,habitat-aggregation,time-to-prospect,collapse-half-way,collapse-perc,starting-juveniles,starting-seabird-pop,sex-ratio
,8,FALSE,0,0,0.3,0.25,2,90,0.2,2,50,0.2,500,1000,0.5
,8,TRUE,0.05,0.5,0.3,0.25,2,90,0.2,2,50,0.2,500,1000,0.5
