clust-area,predators?,adult-predation,chick-predation,prop-suitable,low-lambda,high-lambda,habitat-aggregation,starting-juveniles,starting-seabird-pop
11,TRUE,0.01,0.5,0.3,1,100,0.2,2000,8000
11,FALSE,0,0,0.3,1,100,0.2,2000,8000
