temp_period_start,temp_period_end,soi_year,soi_index,detrended_temp,temperature,source
2002,2003,2002,-0.71,-0.049867673,12.67,NIWA 7 Station
2003,2004,2003,-0.09,-0.110091787,12.62,NIWA 7 Station
2004,2005,2004,-0.82,-0.5703159,12.17,NIWA 7 Station
2005,2006,2005,0.34,0.359459986,13.11,NIWA 7 Station
2006,2007,2006,-0.58,-0.360764128,12.4,NIWA 7 Station
2007,2008,2007,0.67,-0.100988241,12.67,NIWA 7 Station
2008,2009,2008,0.82,0.078787645,12.86,NIWA 7 Station
2009,2010,2009,-0.3,-0.501436469,12.29,NIWA 7 Station
2010,2011,2010,1.79,0.268339417,13.07,NIWA 7 Station
2011,2012,2011,0.63,0.018115304,12.83,NIWA 7 Station
2012,2013,2012,0.03,-0.37210881,12.45,NIWA 7 Station
2013,2014,2013,0.38,0.497667076,13.33,NIWA 7 Station
2014,2015,2014,-0.66,-0.052557038,12.79,NIWA 7 Station
2015,2016,2015,-1.28,-0.102781151,12.75,NIWA 7 Station
2016,2017,2016,0.24,0.586994735,13.45,NIWA 7 Station
2017,2018,2017,0.41,0.276770621,13.15,NIWA 7 Station
2018,2019,2018,-0.29,0.526546508,13.41,NIWA 7 Station
