run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4337,4338,5824,5784,3883,3915,2472,2120,0,0,176,216,0,0,0,0,31,32,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,160,47,253,309,413,348,393,330,20,18,0,0,0,0,0,0,0,0,4881,4814,6007,5896,4380,4338,2947,2669,0,0,224,231,0,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,197,66,304,395,875,784,833,737,42,47,0,0,0,0,0,0,0,0,5855,5701,6604,6395,5118,5026,3650,3492,0,0,264,268,0,0,0,0,32,30,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,170,304,437,275,1516,1403,1450,1346,66,57,3782,3738,0,3376,4144,0,44,55,3601,6780,4150,7124,3503,4280,1989,2794,0,0,235,222,0,0,0,0,22,40,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,89,277,268,208,1860,1770,1766,1673,94,97,640,595,432,0,803,37,0,62,5392,7959,5488,7887,4902,5745,3255,4253,0,0,318,328,0,0,0,0,24,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,203,145,335,546,2366,2569,2254,2410,112,159,1033,987,787,0,1233,39,0,60,7563,9424,7285,8982,6302,7040,3782,4875,0,0,342,378,0,0,0,0,26,36,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,139,297,482,513,2727,3077,2583,2899,144,178,1589,4374,2514,0,3449,41,0,58,10880,7630,10345,7371,7564,6526,5029,4324,0,0,438,356,0,0,0,0,38,24,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,274,220,564,514,3227,3393,3057,3243,170,150,2237,1795,0,1581,2451,0,39,60,11284,10472,10873,10140,7648,7250,4660,5056,0,0,377,366,0,0,0,0,34,29,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,127,201,621,615,3283,3936,3113,3752,170,184,3051,2518,0,2500,3069,0,43,56,11061,13980,10693,13561,7647,7313,4943,4673,0,0,407,380,0,0,0,0,33,29,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
29,274,313,571,498,3718,4141,3512,3945,206,196,4488,2769,2932,0,4325,47,0,52,12776,14859,12428,14482,7662,7313,4956,4475,0,0,377,348,0,0,0,0,33,29,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
