run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346,4337,5796,5829,3914,3886,1353,2312,0.3,0,204,171,0,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,33,220,208,209,201,368,190,353,11,15,0,0,0,0,0,0,0,0,4692,4884,5788,5935,4255,4416,1348,2764,0.3,0,210,252,0,0,0,0,30,33,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,67,79,126,377,467,885,452,853,15,32,0,0,0,0,0,0,0,0,5273,5832,6022,6542,4705,5174,1454,3771,0.3,0,236,258,0,0,0,0,27,36,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,64,253,166,389,705,1464,672,1392,33,72,3777,3767,3217,0,4327,42,0,57,5489,3551,5902,4067,3269,3402,1205,2147,0.3,0,191,210,0,0,0,0,29,33,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,85,175,122,225,889,1808,833,1728,56,80,472,617,0,478,611,0,47,52,5988,5357,5995,5470,4020,4755,1333,3133,0.3,0,233,298,0,0,0,0,24,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,53,276,162,230,1141,2330,1074,2201,67,129,697,1055,684,0,1068,39,0,60,7115,6697,6778,6463,4796,5692,1820,4217,0.3,0,268,303,0,0,0,0,23,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,149,257,147,458,1289,2825,1217,2708,72,117,3637,1542,1918,0,3261,38,0,61,6317,7704,6005,7380,4408,6199,1685,3618,0.3,0,251,385,0,0,0,0,17,46,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,51,200,232,383,1311,2881,1253,2747,58,134,1067,2243,1046,0,2264,31,0,68,7272,7981,6913,7727,4697,6412,1643,4139,0.3,0,277,336,0,0,0,0,18,45,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,90,375,178,307,1342,3188,1279,3020,63,168,1827,2349,1329,0,2847,32,0,67,7739,8484,7349,8227,4849,6673,1702,3794,0.3,0,304,343,0,0,0,0,17,45,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
178,38,143,245,485,1431,3324,1366,3148,65,176,2719,2489,1319,0,3889,31,0,68,7356,8987,6999,8678,4593,6881,1413,4216,0.3,0,262,404,0,0,0,0,14,48,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
