run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,4331,5590,5801,3945,3902,1918,2652,0.2,0,410,199,0.05,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,192,238,148,193,292,443,274,414,18,29,0,0,0,0,0,0,0,0,4563,4874,5485,5998,4084,4365,1648,3116,0.2,0,402,226,0.05,0,0,0,28,34,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,123,172,138,333,624,981,592,944,32,37,0,0,0,0,0,0,0,0,5128,5948,5606,6684,4452,5228,2358,3179,0.2,0,489,277,0.05,0,0,0,24,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,164,230,215,347,1007,1511,959,1441,48,70,3260,3758,2776,0,4242,39,0,60,5478,3747,5644,4266,3117,3591,1324,2086,0.2,0,395,225,0.05,0,0,0,25,38,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,103,142,132,219,1172,1765,1105,1675,67,90,463,656,0,584,535,0,50,49,6019,5589,5802,5669,3961,5057,1638,3983,0.2,0,469,307,0.05,0,0,0,20,42,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,64,305,168,373,1463,2535,1378,2412,85,123,706,1129,682,0,1153,35,0,64,7205,7026,6566,6757,4779,6054,2529,4003,0.2,0,588,320,0.05,0,0,0,21,42,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,183,143,224,555,1810,2936,1712,2786,98,150,3193,1621,1759,0,3055,36,0,63,6894,8016,6312,7668,4659,6539,1928,4321,0.2,0,542,388,0.05,0,0,0,17,46,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,168,337,161,366,1730,3110,1647,2969,83,141,1078,2261,1070,0,2269,31,0,68,7986,8494,7288,8173,5095,6888,1713,4491,0.2,0,598,421,0.05,0,0,0,18,44,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,108,225,209,509,1672,3358,1590,3190,82,168,1793,2507,1314,0,2986,32,0,67,8444,8970,7748,8704,5354,7152,2114,4937,0.2,0,590,372,0.05,0,0,0,18,44,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
63,87,11,268,808,1786,3778,1702,3588,84,190,2762,2577,1519,0,3820,32,0,67,8259,9855,7572,9572,5236,7320,2645,4438,0.2,0,595,375,0.05,0,0,0,17,46,37,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
