run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4306,4330,5796,5786,3897,3905,1231,2104,0.3,0,204,214,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,88,172,121,195,214,362,203,350,11,12,0,0,0,0,0,0,0,0,4642,4792,5790,5909,4209,4299,1496,2785,0.3,0,219,234,0,0,0,0,30,32,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,46,95,197,398,459,782,436,742,23,40,0,0,0,0,0,0,0,0,5207,5676,6000,6389,4613,5025,1911,3143,0.3,0,237,289,0,0,0,0,27,35,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,138,160,162,366,763,1365,725,1310,38,55,3735,3723,3243,0,4215,42,0,57,5591,3338,5994,3883,3377,3236,1183,2107,0.3,0,198,188,0,0,0,0,33,29,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,87,122,124,212,979,1642,927,1541,52,101,469,576,0,440,605,0,43,56,6182,4975,6224,5124,4174,4475,1395,3192,0.3,0,249,243,0,0,0,0,28,35,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,61,189,155,331,1197,2243,1146,2149,51,94,680,981,0,792,869,0,48,51,6729,7138,6403,6868,5034,5890,1949,4152,0.3,0,279,317,0,0,0,0,24,38,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,82,320,204,372,1452,2674,1378,2534,74,140,3775,1491,2095,0,3171,39,0,60,6146,7996,5875,7688,4752,6385,1714,3504,0.3,0,248,331,0,0,0,0,18,44,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,97,226,205,344,1395,2759,1333,2602,62,157,1133,2056,1055,0,2134,32,0,67,7173,8336,6860,8043,5252,6631,2030,4567,0.3,0,252,354,0,0,0,0,21,42,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,120,315,203,448,1543,3118,1458,2951,85,167,1314,2960,1531,0,2743,36,0,63,8589,8146,8204,7905,5540,6607,1944,4568,0.3,0,286,340,0,0,0,0,23,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
167,134,219,175,514,1610,3393,1532,3233,78,160,3080,2339,1746,0,3673,38,0,61,8453,8888,8059,8609,5439,6877,2139,4037,0.3,0,300,373,0,0,0,0,21,42,37,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult0.csv
