run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4332,4311,5798,5824,3935,3926,3063,2595,0,0,202,176,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,189,166,318,256,501,416,473,395,28,21,0,0,0,0,0,0,0,0,4966,4862,6062,5977,4453,4402,2725,2807,0,0,227,253,0,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,296,195,184,272,954,875,910,828,44,47,0,0,0,0,0,0,0,0,5986,5816,6717,6570,5290,5162,3427,3324,0,0,283,264,0,0,0,0,32,30,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,65,208,548,348,1494,1479,1419,1400,75,79,3770,3748,0,3326,4192,0,44,55,3747,6913,4243,7236,3646,4370,2579,2899,0,0,252,282,0,0,0,0,23,40,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,149,260,275,217,1961,1981,1860,1882,101,99,713,626,519,0,820,38,0,61,5582,8259,5722,8170,5025,6043,2516,3939,0,0,293,339,0,0,0,0,23,40,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,146,262,233,387,2462,2546,2340,2409,122,137,1076,1031,814,0,1293,38,0,61,7846,9663,7543,9253,6450,6993,4857,4957,0,0,356,357,0,0,0,0,27,35,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,299,93,571,717,2833,3213,2686,3060,147,153,1615,4362,2518,0,3459,42,0,57,11209,8070,10756,7782,7196,6696,4131,4669,0,0,362,379,0,0,0,0,35,28,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,199,323,455,443,3162,3437,3006,3257,156,180,2396,2032,0,1927,2501,0,43,56,11479,11036,11090,10679,7226,7185,5059,4920,0,0,358,388,0,0,0,0,32,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,139,435,710,424,3203,3795,3054,3598,149,197,3167,2543,2626,0,3084,45,0,54,13715,11849,13299,11541,7236,7224,5020,3935,0,0,352,372,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,349,298,506,366,3744,3924,3572,3698,172,226,4677,2911,0,2960,4628,0,44,55,12312,15412,11975,14961,7235,7224,5151,4949,0,0,368,420,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,152,226,736,573,4185,4254,3974,4037,211,217,2890,4792,3398,0,4284,45,0,54,16608,14331,16198,13981,7236,7223,4661,4410,0,0,360,400,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,268,199,464,553,4332,3952,4138,3747,194,205,5271,3463,0,3786,4948,0,45,54,15187,18175,14857,17728,7235,7224,4401,4653,0,0,383,394,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,221,123,515,642,4224,4093,4004,3908,220,185,3462,6191,4204,0,5449,45,0,54,19739,15564,19304,15219,7236,7224,4152,5285,0,0,394,386,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,286,92,413,799,4131,4258,3953,4036,178,222,6978,3960,0,4613,6325,0,44,55,16396,20040,16059,19606,7236,7224,4108,5002,0,0,383,388,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,238,242,462,585,4085,4293,3885,4073,200,220,4070,7083,4557,0,6596,44,0,55,20568,16723,20115,16441,7236,7224,5002,5360,0,0,409,326,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,430,314,383,581,3914,4413,3728,4204,186,209,7751,3845,0,4850,6746,0,44,55,16206,21771,15886,21339,7236,7224,4799,4597,0,0,377,375,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,280,255,484,471,3979,4395,3808,4173,171,222,3864,8195,4908,0,7151,44,0,55,20844,17449,20392,17098,7236,7224,4612,4463,0,0,395,408,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,404,287,326,433,4040,4199,3844,3987,196,212,7994,4042,0,4800,7236,0,44,55,16359,21980,16034,21568,7234,7224,4338,4583,0,0,379,358,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,142,291,616,449,4019,4254,3826,4050,193,204,3647,8601,5036,0,7212,45,0,54,21388,17144,20936,16820,7236,7224,4302,5050,0,0,379,397,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,198,160,561,691,4115,4205,3918,3984,197,221,8244,4126,0,4824,7546,0,44,55,16748,21626,16383,21197,7236,7224,4671,4125,0,0,427,367,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,343,110,467,589,4158,4149,3948,3943,210,206,3770,8351,4851,0,7270,44,0,55,21542,16920,21120,16602,7236,7224,4523,5425,0,0,382,358,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,382,239,368,694,4001,4249,3805,4032,196,217,8394,3977,0,4877,7494,0,44,55,16663,21667,16318,21248,7236,7224,5119,4477,0,0,388,376,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,8,315,869,428,4265,4162,4057,3969,208,193,3873,8381,4877,0,7377,44,0,55,21508,16947,21065,16592,7236,7224,4134,4598,0,0,393,405,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,140,223,556,543,3864,4092,3653,3860,211,232,8332,3907,0,4882,7357,0,44,55,16520,21558,16192,21134,7236,7224,4280,5230,0,0,391,361,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,380,155,350,745,3943,4179,3761,3944,182,235,3742,8465,4879,0,7328,44,0,55,21225,16748,20790,16433,7236,7223,3631,4112,0,0,372,378,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,182,182,391,472,4042,4156,3835,3948,207,208,8474,3879,0,4985,7368,0,45,54,16293,21619,15965,21185,7236,7224,4548,4275,0,0,402,360,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,554,130,205,591,4081,4027,3861,3828,220,199,3604,8301,4716,0,7189,44,0,55,21089,16837,20636,16522,7236,7224,4248,4564,0,0,391,377,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,180,376,534,403,3509,4020,3329,3804,180,216,8197,3894,0,4755,7336,0,44,55,15890,21314,15597,20875,7236,7224,5253,4716,0,0,346,386,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,461,140,393,619,3791,4060,3601,3859,190,201,3815,8496,4947,0,7364,44,0,55,20476,16360,20024,16001,7236,7224,4862,4875,0,0,403,408,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,439,310,359,461,4094,3825,3881,3615,213,210,8167,3748,0,4699,7216,0,44,55,15860,20691,15519,20273,7236,7224,4933,4073,0,0,397,362,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,335,195,495,454,4081,4004,3872,3790,209,214,3262,8125,4417,0,6970,44,0,55,20675,16078,20251,15732,7236,7223,4241,5242,0,0,366,404,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,311,435,363,427,4483,4168,4259,3952,224,216,8096,3774,0,4817,7053,0,45,54,16543,20870,16210,20422,7236,7224,4557,4095,0,0,398,383,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,239,204,545,470,4161,4248,3929,4048,232,200,3806,7862,4666,0,7002,44,0,55,21124,16724,20722,16355,7236,7224,4522,4417,0,0,345,426,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,382,337,388,422,4299,3948,4091,3747,208,201,7859,3736,0,4637,6958,0,44,55,17077,21131,16718,20702,7236,7224,3866,4419,0,0,404,384,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,235,291,377,472,4146,4070,3918,3870,228,200,4177,8282,4957,0,7502,44,0,55,21531,16434,21104,16122,7236,7224,5619,4631,0,0,377,362,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,319,183,579,641,4159,3914,3964,3719,195,195,8176,3947,0,4847,7276,0,44,55,17009,20864,16694,20439,7236,7224,4616,4008,0,0,372,368,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,223,195,510,480,4218,3995,4004,3802,214,193,4023,7985,4849,0,7159,44,0,55,21652,16381,21189,16053,7236,7223,4180,5371,0,0,411,380,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,369,472,375,439,4078,3950,3849,3767,229,183,8399,3818,0,5052,7165,0,45,54,16759,21191,16429,20747,7236,7224,5186,4783,0,0,382,392,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,600,272,291,476,4324,4178,4102,3995,222,183,3884,8134,4827,0,7191,44,0,55,21617,16734,21207,16401,7236,7224,4960,5685,0,0,368,375,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,186,232,621,754,4283,4457,4054,4237,229,220,8419,3753,0,4834,7338,0,44,55,16998,21835,16665,21421,7236,7223,4889,5275,0,0,379,368,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,157,279,659,575,4357,4289,4135,4067,222,222,3773,8367,4833,0,7307,45,0,54,21999,17265,21570,16927,7236,7224,4976,4085,0,0,377,390,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,418,201,359,463,4263,4426,4052,4187,211,239,8530,3920,0,4982,7468,0,44,55,17234,22317,16913,21843,7236,7224,5342,3489,0,0,374,421,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,202,110,650,465,4634,4395,4388,4187,246,208,4017,8602,5026,0,7593,44,0,55,22439,17571,22018,17240,7236,7224,4254,4924,0,0,369,383,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,465,332,241,518,4651,4142,4435,3949,216,193,8536,4036,0,5042,7530,0,44,55,18059,22319,17735,21862,7236,7224,4372,5356,0,0,379,402,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,105,232,636,664,4138,4059,3925,3860,213,199,4015,8683,5063,0,7635,44,0,55,22830,17169,22348,16824,7236,7224,4881,4331,0,0,406,421,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,273,455,590,248,4061,3957,3851,3755,210,202,8943,4111,0,5218,7836,0,44,55,17388,21811,17058,21391,7236,7223,5053,5020,0,0,369,381,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,270,264,592,588,4385,4006,4172,3798,213,208,4369,8547,5296,0,7620,45,0,54,22297,16765,21849,16429,7236,7224,4364,4795,0,0,371,413,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
1,300,461,411,316,4061,4202,3861,3987,200,215,8535,3802,0,5012,7325,0,44,55,17288,21756,16963,21349,7236,7224,5278,4735,0,0,367,365,0,0,0,0,31,31,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
