run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4317,4351,5789,5788,3868,3910,2226,3031,0,0,211,212,0,0,0,0,31,32,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,273,124,108,355,393,511,370,472,23,39,0,0,0,0,0,0,0,0,4859,4987,5939,6076,4387,4448,3190,2838,0,0,241,205,0,0,0,0,31,32,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,210,216,307,267,907,1015,863,970,44,45,0,0,0,0,0,0,0,0,5823,6081,6543,6757,5152,5337,3157,3675,0,0,284,315,0,0,0,0,30,33,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,286,192,237,461,1420,1593,1342,1531,78,62,3698,3768,3272,0,4194,44,0,55,6808,3909,7175,4413,4270,3749,3179,2391,0,0,260,215,0,0,0,0,37,25,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,160,149,396,242,1976,1947,1870,1858,106,89,655,728,0,553,830,0,40,59,8128,5800,8060,5928,5810,5237,3784,3347,0,0,354,276,0,0,0,0,36,26,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,176,104,501,413,2596,2511,2467,2393,129,118,1037,1121,0,968,1190,0,41,58,9588,8234,9159,7928,7155,6691,5034,4171,0,0,411,324,0,0,0,0,34,28,38,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,381,223,464,501,3304,2823,3132,2683,172,140,4295,1707,0,2546,3456,0,42,57,8109,11540,7845,11060,6827,7329,4162,5639,0,0,347,397,0,0,0,0,28,35,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,111,417,603,557,3355,3525,3188,3367,167,158,1992,2454,1910,0,2536,43,0,56,11067,12069,10709,11652,7366,7341,4466,4692,0,0,406,369,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,145,295,584,515,3652,3541,3456,3390,196,151,2555,3340,2756,0,3139,45,0,54,14477,11826,14040,11502,7418,7350,5043,5640,0,0,392,369,0,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
17,297,444,599,535,4002,4019,3830,3823,172,196,2975,4726,0,2989,4712,0,45,54,15007,13696,14572,13389,7419,7354,5427,4781,0,0,403,339,0,0,0,0,32,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv
