clust-area,predators?,adult-predation,chick-predation,prop-suitable,low-lambda,high-lambda,habitat-aggregation,time-to-prospect,collapse-half-way,collapse-perc,starting-juveniles,starting-seabird-pop
8,TRUE,0.05,0.5,0.3,1,50,0.2,2,50,0.3,2000,3000
8,FALSE,0,0,0.3,1,50,0.2,2,50,0.3,2000,3000
8,TRUE,0.05,0.5,0.3,1,50,0.2,2,50,0.3,2000,3000
8,FALSE,0,0,0.3,1,50,0.2,2,50,0.3,2000,3000
