run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4327,0,5804,0,4020,0,2933,0,0,0,196,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,133,0,358,0,509,0,481,0,28,0,0,0,0,0,0,0,0,1,4947,1,6033,1,4586,1,2947,0,0,0,254,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,94,0,413,0,974,0,925,0,49,0,0,0,0,0,0,0,0,1,5976,1,6705,1,5332,1,3262,0,0,0,273,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,19,0,525,0,1505,0,1453,0,52,0,3739,0,0,3739,0,0,100,1,3752,1,4268,1,2895,0,1703,0,0,0,176,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,157,0,127,0,1806,0,1699,0,107,1,689,0,0,690,0,0,100,0,4990,0,5122,0,4150,0,3041,0,0,0,217,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,232,0,258,0,2271,0,2145,0,126,0,1131,64,0,1067,6,0,93,74,6141,69,5833,10,5332,6,3905,0,0,0,313,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,164,1,441,4,2647,4,2509,0,138,0,1546,0,0,1546,0,0,100,73,6876,67,6554,16,5867,12,4314,0,0,4,324,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,462,1,260,3,2782,3,2634,0,148,0,1804,0,0,1804,0,0,100,70,7463,68,7131,11,6243,9,3773,0,0,1,333,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,276,0,351,6,2820,6,2679,0,141,63,2157,0,0,2220,0,0,100,11,7724,11,7357,5,6391,4,4523,0,0,0,367,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
8,0,229,0,555,2,3395,2,3241,0,154,2,2248,0,0,2250,0,0,100,11,8427,11,8102,8,6677,5,3969,0,0,0,325,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
