run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4343,0,5744,0,4027,0,2615,0.2,0,0,256,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,144,0,303,0,436,0,419,0,17,0,0,0,0,0,0,0,0,1,4807,1,5939,0,4421,0,2884,0.2,0,0,225,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,174,0,321,0,907,0,851,0,56,0,0,0,0,0,0,0,0,2,5759,2,6541,2,5176,0,3445,0.2,0,0,251,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,148,0,459,0,1458,0,1383,0,75,0,3727,0,0,3727,0,0,100,2,3569,2,4064,1,2764,1,1996,0.2,0,0,171,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,176,0,173,0,1851,0,1758,0,93,1,622,0,0,623,0,0,100,1,4932,1,5036,1,4147,0,2967,0.2,0,0,222,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,233,0,306,0,2260,0,2153,0,107,1,1012,0,0,1013,0,0,100,0,6225,0,5963,0,5374,0,3637,0.2,0,0,262,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,311,0,278,0,2601,0,2462,0,139,0,1581,94,0,1487,6,0,93,99,6854,92,6548,8,5779,5,3689,0.2,0,0,313,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,1,237,0,415,1,2712,1,2568,0,144,0,1874,0,0,1874,0,0,100,93,7317,88,6999,7,6076,4,4091,0.2,0,1,322,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,243,1,466,4,2884,4,2733,0,151,0,2188,0,0,2188,0,0,100,92,7634,85,7312,6,6320,4,4113,0.2,0,0,329,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,387,1,307,1,3283,1,3103,0,180,80,2153,0,0,2233,0,0,100,6,8369,5,8038,6,6609,3,4147,0.2,0,1,331,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,103,0,551,1,3549,1,3367,0,182,1,2329,0,0,2330,0,0,100,5,9169,5,8805,2,6936,0,4707,0.2,0,0,364,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,163,0,652,3,3741,3,3546,0,195,3,2492,0,0,2495,0,0,100,5,9968,5,9601,5,7176,3,4741,0.2,0,0,367,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,197,0,596,4,3850,4,3643,0,207,1,2847,0,0,2848,0,0,100,8,10501,7,10133,3,7277,2,4841,0.2,0,1,368,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,395,0,414,2,4057,2,3858,0,199,1,3079,0,0,3080,0,0,100,8,11027,8,10676,3,7343,1,4829,0.2,0,0,351,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,335,1,464,1,4301,1,4062,0,239,3,3304,0,0,3307,0,0,100,6,11574,6,11193,3,7359,0,5100,0.2,0,0,381,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,438,0,426,1,4108,1,3887,0,221,3,3361,0,0,3364,0,0,100,4,11846,4,11427,2,7374,1,4382,0.2,0,0,419,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,1,354,0,373,2,4069,1,3851,1,218,2,3593,0,0,3595,0,0,100,3,11803,3,11409,3,7376,2,5158,0.2,0,0,394,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,454,0,414,0,4238,0,4011,0,227,1,3760,0,0,3761,0,0,100,2,11780,2,11358,1,7371,1,4750,0.2,0,0,422,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,217,0,584,2,4305,2,4104,0,201,1,3613,0,0,3614,0,0,100,3,11959,3,11581,1,7371,1,3992,0.2,0,0,378,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,96,0,583,0,4266,0,4026,0,240,1,3580,0,0,3581,0,0,100,2,12164,2,11808,2,7371,0,4568,0.2,0,0,356,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,395,0,372,1,4333,1,4118,0,215,0,3741,0,0,3741,0,0,100,3,12302,3,11961,2,7378,0,4750,0.2,0,0,341,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
68,0,315,0,461,1,4239,0,4028,1,211,2,3859,0,0,3861,0,0,100,1,12233,1,11819,1,7378,1,4464,0.2,0,0,414,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
