run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,0,5767,0,4001,0,2463,0.2,0,0,233,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,118,0,304,0,393,0,375,0,18,0,0,0,0,0,0,0,0,1,4797,1,5876,1,4422,0,2514,0.2,0,0,266,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,101,0,329,0,867,0,822,0,45,0,0,0,0,0,0,0,0,1,5677,1,6437,1,5141,1,3771,0.2,0,0,283,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,188,0,436,0,1486,0,1417,0,69,0,3678,0,0,3678,0,0,100,1,3525,1,4060,1,2744,0,2233,0.2,0,0,160,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,48,0,307,0,1864,0,1794,0,70,1,601,0,0,602,0,0,100,0,4941,0,5063,0,4153,0,2916,0.2,0,0,229,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,104,0,419,0,2291,0,2184,0,107,0,1001,77,0,924,6,0,93,87,6251,84,5960,11,5545,3,2965,0.2,0,0,294,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,1,168,1,335,2,2484,2,2341,0,143,0,1576,0,0,1576,0,0,100,86,6802,81,6515,15,5901,6,3840,0.2,0,2,290,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,1,360,1,270,1,2645,0,2520,1,125,0,1880,0,0,1880,0,0,100,81,7223,73,6928,9,6112,2,3362,0.2,0,1,302,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,121,0,456,1,2772,1,2637,0,135,71,2193,0,0,2264,0,0,100,3,7447,2,7124,3,6277,1,4425,0.2,0,1,323,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,253,0,480,2,2921,2,2754,0,167,1,2138,0,0,2139,0,0,100,3,7837,3,7479,3,6484,1,4604,0.2,0,0,358,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,216,0,537,2,3341,2,3182,0,159,0,2274,0,0,2274,0,0,100,5,8472,5,8121,2,6838,0,4575,0.2,0,0,351,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,215,0,531,1,3677,1,3512,0,165,1,2358,0,0,2359,0,0,100,5,9362,5,9044,3,7083,2,4501,0.2,0,0,318,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,207,2,589,2,3916,2,3703,0,213,2,2520,0,0,2522,0,0,100,5,10341,5,9937,3,7168,2,4589,0.2,0,0,404,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,515,1,277,1,3914,1,3715,0,199,2,2898,0,0,2900,0,0,100,4,10857,4,10491,0,7199,0,5081,0.2,0,0,366,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,422,0,425,1,4062,1,3871,0,191,1,3217,171,0,3047,6,0,93,182,11157,175,10790,26,7181,9,4249,0.2,0,2,372,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,1,155,0,557,3,4009,3,3805,0,204,1,3417,0,0,3418,0,0,100,177,11295,170,10917,31,7187,9,5386,0.2,0,0,385,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,0,401,2,487,2,4150,2,3934,0,216,1,3421,0,0,3422,0,0,100,171,11556,166,11231,35,7194,14,5487,0.2,0,2,328,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
57,2,451,2,495,3,4329,3,4118,0,211,162,3541,0,0,3703,0,0,100,7,11920,6,11533,7,7196,4,4602,0.2,0,1,387,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv
