run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4344,0,5784,0,4022,0,2609,0,0,0,216,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,140,0,303,0,439,0,425,0,14,0,0,0,0,0,0,0,0,0,4892,0,5954,0,4544,0,3144,0,0,0,256,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,189,0,308,0,994,0,949,0,45,0,0,0,0,0,0,0,0,2,5905,2,6641,1,5329,1,3362,0,0,0,265,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,158,0,369,0,1588,0,1506,0,82,0,3745,0,0,3745,0,0,100,2,3786,2,4287,2,3033,2,1409,0,0,0,171,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,76,0,164,0,1743,0,1649,0,94,0,656,0,0,656,0,0,100,2,4985,2,5091,0,4210,0,2595,0,0,0,235,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,159,0,266,0,2145,0,2040,0,105,2,1100,74,0,1028,6,0,93,79,6040,77,5733,5,5346,3,3185,0,0,0,309,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,222,0,329,3,2415,3,2310,0,105,0,1644,0,0,1644,0,0,100,80,6457,73,6177,9,5586,8,3675,0,0,3,284,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,2,223,1,419,2,2592,2,2476,0,116,0,1740,0,0,1740,0,0,100,75,6982,70,6672,7,5887,5,3535,0,0,0,315,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,235,1,352,3,2616,3,2509,0,107,67,2069,0,0,2136,0,0,100,6,7176,5,6847,6,6024,3,3723,0,0,1,329,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,272,1,334,1,2861,1,2698,0,163,1,2038,0,0,2039,0,0,100,5,7601,5,7253,2,6305,2,4249,0,0,0,348,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,204,0,473,4,3173,4,3017,0,156,1,2245,0,0,2246,0,0,100,8,8114,7,7756,4,6549,3,4014,0,0,1,358,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,233,0,421,3,3416,3,3244,0,172,2,2228,0,0,2230,0,0,100,8,8866,6,8513,7,6844,4,5058,0,0,2,353,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,460,0,377,5,3639,5,3449,0,190,1,2440,0,0,2441,0,0,100,10,9639,10,9225,9,7057,7,5118,0,0,0,414,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,296,0,584,7,4078,7,3870,0,208,3,2699,0,0,2702,0,0,100,14,10507,13,10120,8,7188,4,5365,0,0,1,387,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,303,1,639,3,4103,3,3890,0,213,2,2934,0,0,2936,0,0,100,14,11198,13,10844,11,7202,9,4653,0,0,1,354,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,126,1,633,7,4256,7,4041,0,215,3,3203,0,0,3206,0,0,100,17,11806,16,11379,12,7214,9,4647,0,0,1,427,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,2,220,1,577,5,4328,4,4140,1,188,7,3557,0,0,3564,0,0,100,13,12074,12,11704,10,7218,8,4837,0,0,1,370,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,250,2,551,3,4471,3,4254,0,217,3,3624,0,0,3627,0,0,100,12,12458,12,12054,11,7215,6,4678,0,0,0,404,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,236,1,561,6,4371,6,4157,0,214,6,3776,0,0,3782,0,0,100,12,12550,11,12175,3,7212,3,5134,0,0,1,375,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,369,1,460,4,4281,3,4062,1,219,3,3841,0,0,3844,0,0,100,11,12515,11,12152,8,7218,4,5541,0,0,0,363,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,321,0,596,3,4263,3,4065,0,198,3,4005,0,0,4008,0,0,100,11,12326,9,11934,5,7218,3,3997,0,0,2,392,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,210,0,486,8,4142,8,3936,0,206,5,3913,0,0,3918,0,0,100,12,12075,10,11714,8,7216,8,4452,0,0,2,361,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,228,0,505,4,4328,4,4116,0,212,2,3793,0,0,3795,0,0,100,12,12143,12,11803,5,7218,4,3974,0,0,0,340,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,187,0,511,3,4074,3,3897,0,177,2,3818,0,0,3820,0,0,100,13,11978,13,11592,10,7218,6,4391,0,0,0,386,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,210,0,528,3,4135,2,3921,1,214,6,3706,0,0,3712,0,0,100,9,11923,8,11571,6,7215,6,4722,0,0,1,352,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,257,0,515,5,3858,4,3650,1,208,3,3844,0,0,3847,0,0,100,9,11494,9,11130,5,7215,3,4990,0,0,0,364,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,175,0,638,8,4072,8,3873,0,199,3,3636,0,0,3639,0,0,100,14,11485,14,11137,8,7210,7,4778,0,0,0,348,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,103,0,643,5,4036,5,3792,0,244,2,3674,0,0,3676,0,0,100,17,11400,15,11032,10,7211,4,4195,0,0,2,368,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,40,0,631,5,4033,5,3829,0,204,3,3425,0,0,3428,0,0,100,17,11548,15,11198,7,7208,5,4400,0,0,2,350,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,0,278,1,438,7,4024,7,3825,0,199,6,3637,0,0,3643,0,0,100,16,11503,16,11119,10,7202,5,3706,0,0,0,384,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
1,1,212,0,399,5,4012,4,3801,1,211,4,3564,0,0,3568,0,0,100,16,11483,16,11079,9,7218,7,4938,0,0,0,404,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
