clust-area,predators?,adult-predation,chick-predation,prop-suitable,low-lambda,high-lambda,habitat-aggregation,starting-juveniles,starting-seabird-pop
10,TRUE,0.05,0.1,0.3,1,100,0.2,0,0
10,FALSE,0,0,0.3,1,100,0.2,2000,8000
