run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,0,5715,0,3878,0,2821,0,0,0,285,0,0,2254,2016,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,170,0,326,0,470,0,441,0,29,0,0,0,0,0,0,0,0,1,4834,1,5829,0,4262,0,3077,0,0,0,328,0,0,602,483,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,211,0,293,0,956,0,908,0,48,0,0,0,0,0,0,0,0,8,5724,8,6550,5,4453,2,2565,0,0,0,190,0,0,103,123,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,0,0,274,0,169,0,1476,0,1409,0,67,0,0,0,0,0,0,0,0,8,7316,8,7804,3,4439,2,3204,0,0,0,191,0,0,138,69,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,214,0,323,2,1877,2,1787,0,90,0,0,0,0,0,0,0,0,10,9312,10,8977,5,4387,1,927,0,0,0,667,0,0,53,38,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,40,0,120,0,2123,0,1995,0,128,0,0,0,0,0,0,0,0,10,11041,9,10617,4,4355,2,1630,0,0,1,424,0,0,33,20,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,4,0,124,1,127,0,2097,0,1987,0,110,0,2845,0,0,2845,0,0,100,9,9817,9,9254,5,4327,2,2350,0,0,0,563,0,0,0,18,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,193,0,194,5,1919,5,1827,0,92,1,534,0,0,535,0,0,100,13,10600,13,10119,8,4313,1,735,0,0,0,481,0,0,0,17,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,33,0,91,0,1746,0,1656,0,90,6,892,0,0,898,0,0,100,7,10927,7,10451,5,4299,2,2456,0,0,0,476,0,0,37,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,187,1,221,2,1571,2,1476,0,95,0,1387,0,0,1387,0,0,100,9,10592,9,10308,5,4296,2,3002,0,0,0,284,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,186,0,331,0,1694,0,1606,0,88,2,1750,0,0,1752,0,0,100,7,10219,5,9658,4,4302,2,2440,0,0,2,561,0,0,39,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,148,0,270,1,1948,1,1843,0,105,0,1801,0,0,1801,0,0,100,6,9761,6,9519,1,4295,0,2661,0,0,0,242,0,0,0,14,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,269,0,143,1,2102,1,1989,0,113,0,1559,0,0,1559,0,0,100,7,10009,7,9834,2,4282,2,2198,0,0,0,175,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,162,0,209,3,2187,3,2085,0,102,3,1595,0,0,1598,0,0,100,7,10384,6,10230,6,4286,4,2456,0,0,1,154,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,0,0,199,1,237,3,2251,3,2132,0,119,0,1440,0,0,1440,0,0,100,9,10979,9,10705,4,4286,2,3338,0,0,0,274,0,0,22,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,41,0,494,3,2381,3,2239,0,142,2,1271,0,0,1273,0,0,100,10,11749,10,11136,5,4287,1,724,0,0,0,613,0,0,0,19,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,44,0,77,0,2093,0,1997,0,96,0,1370,0,0,1370,0,0,100,10,11809,10,11402,6,4271,2,1912,0,0,0,407,0,0,0,15,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,140,0,195,0,2002,0,1905,0,97,1,1534,0,0,1535,0,0,100,9,11839,8,11590,5,4251,1,2990,0,0,1,249,0,0,22,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,0,225,0,269,1,2108,1,1998,0,110,1,1672,0,0,1673,0,0,100,8,11973,8,11851,5,4238,4,2752,0,0,0,122,0,0,0,13,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,237,1,218,0,2132,0,2018,0,114,2,1842,0,0,1844,0,0,100,6,12089,6,11497,4,4225,2,2132,0,0,0,592,0,0,0,14,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,167,0,170,1,1819,1,1743,0,76,2,1813,0,0,1815,0,0,100,5,11466,4,11218,3,4208,3,2319,0,0,1,248,0,0,24,22,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,1,0,153,0,232,7,2109,7,2015,0,94,3,1927,0,0,1930,0,0,100,8,11352,8,11172,6,4187,2,2872,0,0,0,180,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,0,1,210,0,237,2,2341,2,2246,0,95,0,1757,0,0,1757,0,0,100,10,11712,10,11120,3,4189,1,2029,0,0,0,592,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,1,0,40,0,272,2,2180,2,2088,0,92,0,1612,0,0,1612,0,0,100,12,11645,12,11061,11,4184,1,683,0,0,0,584,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,1,0,28,0,100,2,1982,2,1882,0,100,0,1635,0,0,1635,0,0,100,14,11365,14,10987,9,4185,3,1953,0,0,0,378,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,114,0,193,1,1785,1,1702,0,83,0,1650,0,0,1650,0,0,100,15,11075,14,10782,9,4188,3,2454,0,0,1,293,0,0,0,17,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,107,0,315,0,1822,0,1741,0,81,0,1463,0,0,1463,0,0,100,14,11106,13,10910,10,4170,7,2449,0,0,1,196,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,107,2,312,3,1796,3,1713,0,83,7,1683,0,0,1690,0,0,100,9,10995,9,10755,5,4171,2,2641,0,0,0,240,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,1,1,82,1,316,5,1722,5,1636,0,86,1,1914,0,0,1915,0,0,100,13,10524,13,10242,5,4169,4,2740,0,0,0,282,0,0,0,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,1,0,195,0,277,2,2064,2,1986,0,78,2,1834,0,0,1836,0,0,100,13,10435,13,9896,6,4156,3,1919,0,0,0,539,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,3,1,99,1,207,1,2175,1,2062,0,113,2,1615,0,0,1617,0,0,100,12,10411,11,9855,7,4155,3,1956,0,0,1,556,0,0,33,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,1,125,1,195,3,2057,3,1935,0,122,1,1408,0,0,1409,0,0,100,13,10456,12,10017,6,4150,3,1866,0,0,1,439,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,4,0,86,0,213,1,2012,1,1912,0,100,0,1414,0,0,1414,0,0,100,13,10576,12,10385,9,4154,7,2769,0,0,1,191,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,144,0,326,6,1925,6,1826,0,99,2,1407,0,0,1409,0,0,100,16,10857,15,10294,7,4157,0,634,0,0,1,563,0,0,16,20,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
3,2,0,43,0,58,3,1764,3,1687,0,77,4,1294,0,0,1298,0,0,100,14,10733,14,10480,7,4132,7,2243,0,0,0,253,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
