run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4331,4338,5717,5797,3912,3909,2042,2230,0.2,0,283,203,0,0,2290,2261,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,2,81,82,236,271,338,401,316,380,22,21,0,0,0,0,0,0,0,0,4714,4844,5837,5925,4169,4304,2448,3251,0.2,0,211,262,0,0,346,612,26,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,0,198,134,217,430,749,909,710,866,39,43,0,0,0,0,0,0,0,0,5564,5795,6372,6631,4530,4562,1995,2578,0.2,0,194,184,0,0,87,61,27,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,1,191,97,136,334,1109,1374,1059,1308,50,66,3721,3797,2837,0,4681,38,0,61,5904,3471,5836,3841,3886,3383,0,722,0.2,0,577,497,0,0,21,40,33,22,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,3,0,65,0,64,1130,1500,1080,1416,50,84,540,585,0,362,763,0,33,66,6075,4725,5935,4718,4436,4212,907,2124,0.2,0,401,434,0,0,0,16,30,26,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,2,77,70,69,293,1237,1712,1176,1639,61,73,860,969,0,663,1166,0,37,62,6293,6091,5733,5605,4529,4504,1493,1748,0.2,0,514,532,0,0,64,51,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,2,60,51,196,235,1198,1846,1120,1755,78,91,3083,1252,877,0,3458,38,0,61,4695,6152,4464,5887,4032,4457,2488,3015,0.2,0,229,267,0,0,80,60,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,4,94,231,335,247,1346,1797,1273,1705,73,92,1157,1759,926,0,1990,35,0,64,5544,5893,5278,5760,4267,4374,2238,3443,0.2,0,258,141,0,0,16,0,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,2,187,230,203,353,1355,1972,1304,1877,51,95,1297,2331,1168,0,2460,38,0,61,6496,5352,5857,5055,4370,4293,0,730,0.2,0,532,404,0,0,0,36,29,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
56,4,0,27,0,103,1192,1920,1123,1840,69,80,1634,1564,0,945,2253,0,38,61,5389,6313,5160,6068,4285,4387,1179,3316,0.2,0,203,271,0,0,0,17,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
