run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
144,3,0,253,18,167,91,1656,86,1556,5,100,116,1448,0,0,1564,0,0,100,277,4528,257,4337,186,3810,76,1606,0.2,0,20,191,0.05,0,20,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,6,96,6,151,83,1653,79,1567,4,86,104,1395,0,0,1499,0,0,100,232,4553,212,4107,142,3829,29,1899,0.2,0,20,446,0.05,0,0,16,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,0,1,88,2,242,72,1674,70,1607,2,67,65,1247,0,0,1312,0,0,100,217,4506,189,4295,129,3838,49,2645,0.2,0,28,211,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,1,64,5,350,64,1798,63,1689,1,109,65,1341,0,0,1406,0,0,100,187,4705,150,4139,118,3970,0,575,0.2,0,37,566,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,0,38,0,72,61,1719,60,1639,1,80,48,1212,0,0,1260,0,0,100,162,4616,146,4501,97,3923,32,3004,0.2,0,16,115,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,4,4,156,2,343,38,1869,37,1782,1,87,48,1338,0,0,1386,0,0,100,135,4995,122,4833,74,4126,35,3208,0.2,0,13,162,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,3,0,281,4,234,27,2017,27,1917,0,100,41,1471,0,0,1512,0,0,100,108,5335,97,4832,69,4276,0,777,0.2,0,11,503,0.05,0,20,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,4,0,55,0,69,26,1777,25,1678,1,99,45,1441,0,0,1486,0,0,100,77,5117,71,4635,49,4258,16,1755,0.2,0,6,482,0.05,0,0,11,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,1,69,2,220,11,1643,11,1566,0,77,24,1464,0,0,1488,0,0,100,58,4778,50,4120,35,4076,0,658,0.2,0,8,658,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,0,65,0,67,12,1584,11,1509,1,75,19,1383,0,0,1402,0,0,100,42,4285,37,4024,22,3745,12,3012,0.2,0,5,261,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
