run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316,4334,5470,5857,3849,3914,2032,2760,0.2,0,530,143,0.05,0,2180,2134,27,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,4,60,106,261,380,313,432,303,413,10,19,0,0,0,0,0,0,0,0,4426,4944,5291,6112,3995,4378,1884,1888,0.2,0,492,167,0.05,0,240,491,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,106,88,222,226,637,804,603,767,34,37,0,0,0,0,0,0,0,0,4900,5927,5051,5945,4275,4744,0,408,0.2,0,860,958,0.05,0,184,56,23,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,17,0,47,647,845,623,804,24,41,2762,3374,2120,0,4016,34,0,65,4372,2740,4610,3243,2688,2708,770,810,0.2,0,359,234,0.05,0,167,103,27,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,42,47,75,86,802,983,759,926,43,57,428,571,0,369,630,0,38,61,4635,3657,4458,3797,3207,3555,1581,2107,0.2,0,475,232,0.05,0,39,37,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,82,34,175,298,1068,1303,1019,1232,49,71,615,880,0,618,877,0,42,57,4896,4802,4484,4610,3777,4277,1618,2147,0.2,0,391,213,0.05,0,47,35,23,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,111,109,137,263,1074,1330,1012,1267,62,63,2315,982,558,0,2739,34,0,65,3767,4935,3419,4560,3176,4237,853,2413,0.2,0,363,360,0.05,0,25,22,16,39,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,4,62,183,82,224,939,1417,893,1352,46,65,822,1379,499,0,1702,26,0,73,4004,4584,3632,4285,3137,4155,1742,1681,0.2,0,359,312,0.05,0,40,24,17,39,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,115,91,180,181,1100,1575,1048,1497,52,78,1045,1836,664,0,2217,27,0,72,4318,3999,3605,3526,2930,3786,0,528,0.2,0,626,560,0.05,0,0,0,18,38,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,13,0,67,1007,1482,948,1408,59,74,1103,1006,501,0,1608,29,0,70,3971,3988,3598,3837,2571,3800,1333,2705,0.2,0,330,194,0.05,0,60,39,13,42,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,54,74,145,356,1021,1603,960,1537,61,66,949,1120,411,0,1658,22,0,77,4034,4300,3750,4092,2610,3967,1052,2965,0.2,0,248,244,0.05,0,0,12,12,43,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,0,75,130,84,366,969,1840,920,1747,49,93,1226,1233,405,0,2054,21,0,78,3865,4677,3183,4153,2586,4163,785,2065,0.2,0,604,602,0.05,0,47,21,11,45,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,54,131,84,214,845,1850,806,1754,39,96,1017,1204,365,0,1856,20,0,80,3345,4768,2898,4356,2196,4191,0,334,0.2,0,384,475,0.05,0,37,0,7,49,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,0,24,0,32,633,1556,597,1483,36,73,923,1197,223,0,1897,13,0,86,2804,4700,2519,4179,1840,4154,317,1842,0.2,0,230,576,0.05,0,33,0,4,51,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,17,105,34,222,570,1642,536,1547,34,95,840,1321,158,0,2003,8,0,91,2382,4470,2125,4040,1559,4049,311,1878,0.2,0,211,476,0.05,0,0,0,3,53,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,21,111,39,213,460,1623,443,1547,17,76,817,1361,107,0,2071,6,0,93,1861,4279,1682,3835,1215,3805,308,1953,0.2,0,159,464,0.05,0,20,0,2,54,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,27,48,29,268,369,1468,352,1399,17,69,620,1102,56,0,1666,4,0,95,1470,4171,1338,3977,957,3683,471,2129,0.2,0,123,203,0.05,0,0,19,1,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,20,229,50,129,287,1410,272,1338,15,72,528,1241,27,0,1742,2,0,97,1112,4122,1013,3929,690,3579,236,2660,0.2,0,91,201,0.05,0,0,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,22,87,25,371,269,1802,258,1713,11,89,419,1289,0,0,1708,0,0,100,852,4416,775,4157,556,3699,297,1880,0.2,0,76,260,0.05,0,22,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,25,93,27,188,284,1832,271,1730,13,102,284,1242,0,0,1526,0,0,100,762,4712,695,4475,490,3990,272,2452,0.2,0,66,238,0.05,0,0,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,22,63,26,348,288,1972,274,1883,14,89,237,1172,0,0,1409,0,0,100,732,5246,658,4976,487,4310,205,3099,0.2,0,74,270,0.05,0,15,24,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,22,56,24,504,258,2085,243,1970,15,115,190,1526,0,0,1716,0,0,100,711,5498,610,4932,482,4347,115,1707,0.2,0,101,566,0.05,0,0,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,6,47,22,220,213,2169,197,2061,16,108,191,1421,0,0,1612,0,0,100,616,5639,535,5157,429,4363,123,2053,0.2,0,81,482,0.05,0,0,12,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,0,0,99,27,265,203,1956,196,1862,7,94,191,1514,0,0,1705,0,0,100,540,5557,456,5074,349,4332,79,1088,0.2,0,84,483,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,4,83,9,108,144,1798,138,1711,6,87,153,1531,0,0,1684,0,0,100,441,5300,355,4748,307,4307,0,668,0.2,0,86,552,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,0,27,0,86,93,1521,89,1440,4,81,118,1577,0,0,1695,0,0,100,326,4652,285,4379,207,3976,36,2049,0.2,0,41,273,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,1,66,3,285,75,1317,70,1242,5,75,107,1490,0,0,1597,0,0,100,248,4178,220,3836,157,3559,39,756,0.2,0,28,342,0.05,0,18,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,3,47,3,86,51,1130,51,1071,0,59,85,1384,0,0,1469,0,0,100,186,3555,159,3101,114,2980,43,1666,0.2,0,27,454,0.05,0,0,13,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,2,98,4,150,45,1173,45,1103,0,70,65,1115,0,0,1180,0,0,100,139,3127,118,2859,81,2559,13,1116,0.2,0,21,268,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,84,3,106,29,1100,29,1033,0,67,48,942,0,0,990,0,0,100,99,2988,93,2802,56,2356,31,1587,0.2,0,6,186,0.05,0,23,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,4,63,2,203,27,1228,26,1162,1,66,28,825,0,0,853,0,0,100,91,3173,74,3030,49,2502,21,1921,0.2,0,17,143,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,3,159,2,175,27,1244,25,1177,2,67,27,924,0,0,951,0,0,100,72,3329,63,3184,42,2618,16,1891,0.2,0,9,145,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,1,1,73,1,251,16,1434,16,1346,0,88,22,918,0,0,940,0,0,100,57,3663,54,3483,35,2928,7,2408,0.2,0,3,180,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,2,128,2,286,17,1571,16,1489,1,82,19,1044,0,0,1063,0,0,100,51,3979,48,3672,28,3312,10,1059,0.2,0,3,307,0.05,0,0,13,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,1,64,2,128,8,1548,8,1472,0,76,18,1030,0,0,1048,0,0,100,38,4160,36,3999,27,3471,13,2267,0.2,0,2,161,0.05,0,26,19,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,1,167,1,234,16,1665,15,1582,1,83,14,1172,0,0,1186,0,0,100,37,4463,31,4274,25,3750,14,2016,0.2,0,6,189,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,3,51,1,290,17,1695,16,1622,1,73,11,1305,0,0,1316,0,0,100,36,4641,33,4396,24,3922,9,2719,0.2,0,3,245,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,2,250,2,183,4,1806,4,1725,0,81,7,1315,0,0,1322,0,0,100,30,4856,26,4678,22,4134,9,3563,0.2,0,4,178,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,151,2,447,11,2027,9,1931,2,96,8,1446,0,0,1454,0,0,100,27,5218,24,4806,16,4245,4,1565,0.2,0,3,412,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,152,0,115,7,2122,6,2016,1,106,14,1419,0,0,1433,0,0,100,16,5469,11,5199,9,4306,9,1905,0.2,0,5,270,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,1,131,2,151,11,2137,9,2020,2,117,2,1477,0,0,1479,0,0,100,18,5806,17,5649,7,4363,3,2063,0.2,0,1,157,0.05,0,0,21,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,49,0,306,9,2028,9,1926,0,102,6,1672,0,0,1678,0,0,100,20,5963,20,5701,14,4341,6,2949,0.2,0,0,262,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,1,252,1,272,4,2225,4,2124,0,101,2,1853,0,0,1855,0,0,100,22,6021,20,5808,10,4326,6,3164,0.2,0,2,213,0.05,0,0,18,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,4,0,103,2,436,5,2009,5,1901,0,108,8,1863,0,0,1871,0,0,100,17,5912,15,5690,9,4298,3,2931,0.2,0,2,222,0.05,0,16,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,3,1,76,0,415,6,2358,6,2240,0,118,7,1790,0,0,1797,0,0,100,14,6207,12,5668,10,4344,0,885,0.2,0,2,539,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,4,0,68,0,76,4,2097,3,1981,1,116,3,1801,0,0,1804,0,0,100,12,5918,9,5337,7,4313,1,2044,0.2,0,3,581,0.05,0,17,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,170,0,167,1,2139,1,2027,0,112,3,1533,0,0,1536,0,0,100,7,5890,5,5074,3,4320,0,414,0.2,0,2,816,0.05,0,0,25,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,23,0,48,2,1830,2,1754,0,76,4,1641,0,0,1645,0,0,100,3,5230,3,4970,3,4183,1,2800,0.2,0,0,260,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,195,0,249,0,1583,0,1515,0,68,0,1523,0,0,1523,0,0,100,3,5005,3,4835,3,4167,2,2522,0.2,0,0,170,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
73,2,0,226,0,192,2,1569,2,1493,0,76,1,1679,0,0,1680,0,0,100,4,4700,3,4466,4,4030,1,2786,0.2,0,1,234,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
