run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346,4328,5507,5760,3922,3885,1396,2098,0.3,0,493,240,0.05,0,2118,1977,28,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,4,82,166,137,189,247,362,235,345,12,17,0,0,0,0,0,0,0,0,4425,4739,5271,5879,3960,4258,881,2427,0.3,0,482,231,0.05,0,464,237,25,31,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,26,140,141,282,360,744,344,705,16,39,0,0,0,0,0,0,0,0,4613,5588,4932,5633,4068,4757,0,544,0.3,0,698,971,0.05,0,80,116,21,34,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,0,18,0,83,383,899,359,843,24,56,2925,3198,1965,0,4158,32,0,67,3671,2610,4040,3190,2248,2586,660,1722,0.3,0,279,149,0.05,0,53,57,22,34,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,0,65,126,46,185,504,1108,472,1067,32,41,384,510,0,401,493,0,43,56,3791,3862,3887,4045,2555,3758,589,3570,0.3,0,240,148,0.05,0,57,15,13,42,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,19,109,79,473,561,1638,535,1550,26,88,469,824,265,0,1028,22,0,77,4235,4826,3446,4045,2869,4337,0,405,0.3,0,639,931,0.05,0,31,47,12,43,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,0,23,0,37,438,1615,420,1546,18,69,1895,884,279,0,2500,21,0,78,2264,4750,2068,4476,1677,4102,605,3141,0.3,0,192,278,0.05,0,22,44,4,52,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,38,197,62,309,325,1727,305,1639,20,88,551,1440,125,0,1866,8,0,91,1952,4731,1766,4570,1257,4302,388,3321,0.3,0,175,172,0.05,0,19,0,1,54,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,4,47,37,33,512,355,2151,335,2036,20,115,781,1483,54,0,2210,2,0,97,1377,5198,1229,5070,804,4453,200,3783,0.3,0,135,141,0.05,0,34,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,3,20,297,15,346,351,2491,330,2370,21,121,531,1420,0,0,1951,0,0,100,1028,6106,870,5418,626,4615,0,681,0.3,0,139,707,0.05,0,0,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
204,2,0,49,0,59,227,2020,215,1936,12,84,293,1398,0,0,1691,0,0,100,792,6005,690,5333,511,4630,64,1774,0.3,0,99,675,0.05,0,17,32,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
