run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305,4328,5659,5762,3886,3881,2250,2299,0.2,0,341,238,0.05,0,2116,2081,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,114,66,268,322,382,380,364,364,18,16,0,0,0,0,0,0,0,0,4683,4806,5733,5900,4179,4298,1892,2858,0.2,0,297,233,0.05,0,426,317,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,73,68,225,387,696,876,664,837,32,39,0,0,0,0,0,0,0,0,5415,5772,5916,6491,4594,4664,1409,3535,0.2,0,503,269,0.05,0,68,121,27,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,78,281,149,334,937,1456,898,1377,39,79,3364,3703,2760,0,4307,38,0,61,5589,3535,5782,4052,3586,3441,1363,1969,0.2,0,405,207,0.05,0,89,72,29,26,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,3,29,135,171,182,1170,1721,1115,1633,55,88,552,611,0,417,746,0,37,62,6061,5201,5947,5349,4298,4445,1865,2862,0.2,0,405,214,0.05,0,0,18,26,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,96,217,223,285,1513,2297,1434,2173,79,124,787,1056,684,0,1159,37,0,62,7337,6512,6513,6190,4660,4621,1176,1574,0.2,0,713,433,0.05,0,42,10,28,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,4,35,66,192,177,1379,2122,1306,2007,73,115,3062,1523,935,0,3650,38,0,61,5748,6726,5362,6478,4520,4625,2155,2037,0.2,0,357,277,0.05,0,45,35,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,105,150,237,194,1401,2096,1325,2003,76,93,1114,2113,1136,0,2091,38,0,61,6757,6426,5358,5790,4556,4564,0,623,0.2,0,1202,833,0.05,0,42,39,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,0,0,0,98,1178,1826,1111,1734,67,92,1660,2093,1236,0,2517,38,0,61,6092,5480,5560,5284,4194,4428,2401,2794,0.2,0,475,253,0.05,0,7,0,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
71,2,174,181,252,273,1234,1826,1176,1743,58,83,1546,1704,962,0,2288,37,0,62,6188,5367,5431,5160,4307,4395,2096,3911,0.2,0,683,281,0.05,0,0,17,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult5.csv
