run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
264,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4311,4323,5593,5851,3894,3876,764,2820,0.4,0,407,149,0.05,0,2262,2137,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,1,50,183,76,296,141,434,125,410,16,24,0,0,0,0,0,0,0,0,4378,4907,5140,5803,3881,4356,195,2276,0.4,0,588,471,0.05,0,242,647,23,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,2,9,120,22,261,162,846,156,797,6,49,0,0,0,0,0,0,0,0,4288,5617,4623,6170,3857,4416,239,1851,0.4,0,686,451,0.05,0,113,82,22,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,2,16,143,28,144,196,1123,191,1081,5,42,2833,3460,2083,0,4210,33,0,66,3386,3150,3838,3673,1903,3067,495,1856,0.4,0,188,178,0.05,0,67,112,11,45,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,0,40,107,52,182,284,1521,279,1434,5,87,305,597,172,0,730,20,0,80,3637,4204,3772,4369,2039,3851,513,2364,0.4,0,186,214,0.05,0,34,56,7,48,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,1,34,147,43,234,361,1896,342,1787,19,109,386,986,178,0,1194,13,0,86,3914,5232,3332,4800,2224,4154,0,484,0.4,0,449,565,0.05,0,0,56,7,48,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,3,0,14,0,63,291,1655,279,1570,12,85,1952,1192,200,0,2944,13,0,86,1865,5225,1507,4670,1177,4149,98,1678,0.4,0,330,583,0.05,0,51,22,1,54,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,4,11,171,8,127,236,1534,226,1465,10,69,499,1413,44,0,1868,2,0,97,1278,4757,1107,4255,780,4011,24,2040,0.4,0,147,526,0.05,0,99,0,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,2,4,130,1,181,188,1538,182,1456,6,82,508,1613,0,0,2121,0,0,100,781,4152,636,3710,451,3534,0,474,0.4,0,134,453,0.05,0,23,14,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,3,0,28,0,56,147,1292,145,1226,2,66,304,1159,0,0,1463,0,0,100,477,3819,434,3637,278,3127,69,2363,0.4,0,41,184,0.05,0,0,16,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,3,5,257,7,147,67,1312,64,1248,3,64,165,1162,0,0,1327,0,0,100,333,3763,297,3301,221,3064,12,1278,0.4,0,36,462,0.05,0,18,18,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,3,1,114,1,100,25,1285,22,1212,3,73,121,1104,0,0,1225,0,0,100,198,3452,165,3105,131,2715,8,876,0.4,0,33,347,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,0,1,49,1,84,30,1366,29,1299,1,67,95,977,0,0,1072,0,0,100,99,3471,79,3201,62,2698,3,843,0.4,0,20,270,0.05,0,0,14,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,1,0,38,0,83,20,1110,19,1037,1,73,41,918,0,0,959,0,0,100,57,3366,45,2715,31,2655,0,286,0.4,0,12,651,0.05,0,73,57,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,4,0,16,0,30,18,944,16,896,2,48,11,849,0,0,860,0,0,100,50,2788,44,2426,31,2213,4,812,0.4,0,6,362,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,2,1,54,1,63,12,995,12,953,0,42,15,879,0,0,894,0,0,100,41,2522,34,2321,23,1843,0,309,0.4,0,7,201,0.05,0,0,17,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,2,0,22,0,37,4,614,4,587,0,27,12,664,0,0,676,0,0,100,26,2257,21,2169,11,1723,3,1151,0.4,0,5,88,0.05,0,0,14,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
264,3,0,81,0,107,1,656,1,637,0,19,9,715,0,0,724,0,0,100,13,2099,13,2001,8,1561,0,694,0.4,0,0,98,0.05,0,0,0,0,56,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult5.csv
