run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4333,4339,5566,5827,3902,3910,2242,2896,0.2,0,434,173,0.05,0,2072,2085,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,4,228,207,173,264,389,476,374,451,15,25,0,0,0,0,0,0,0,0,4619,4970,5527,5967,4123,4452,2149,3487,0.2,0,433,319,0.05,0,207,424,25,31,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,96,151,256,422,705,1070,664,1010,41,60,0,0,0,0,0,0,0,0,5208,6018,5287,6119,4528,4745,0,639,0.2,0,927,882,0.05,0,156,235,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,3,0,38,0,70,731,1185,695,1130,36,55,2927,3297,2343,0,3881,37,0,62,4734,3348,5024,3795,2960,3269,1171,2002,0.2,0,346,228,0.05,0,97,54,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,4,22,176,150,172,958,1499,907,1429,51,70,478,614,0,486,606,0,42,57,5153,4805,4876,4726,3634,4213,755,1930,0.2,0,564,443,0.05,0,0,20,22,34,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,24,0,105,333,1028,1790,973,1690,55,100,651,1016,527,0,1140,33,0,66,5760,5463,4725,5097,4071,4387,0,625,0.2,0,957,444,0.05,0,19,39,25,31,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,0,9,0,84,890,1657,841,1567,49,90,2337,1225,726,0,2836,36,0,63,3980,5485,3678,5248,2995,4383,1244,3856,0.2,0,287,252,0.05,0,0,18,13,42,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,48,238,155,366,619,1710,591,1620,28,90,798,1806,518,0,2086,22,0,77,4008,5106,3690,4911,2708,4254,1007,2178,0.2,0,283,230,0.05,0,20,0,11,44,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,59,69,112,312,713,1818,679,1727,34,91,1289,1822,525,0,2586,20,0,80,3621,4869,3430,4687,2261,4202,531,2453,0.2,0,156,217,0.05,0,22,19,7,48,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
142,2,14,59,75,355,631,2003,593,1888,38,115,1299,1415,247,0,2467,13,0,86,2981,5225,2752,4975,1848,4262,1013,1988,0.2,0,196,283,0.05,0,0,0,4,51,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
