run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,4326,5799,5802,3934,3913,1051,2524,0.4,0,201,198,0,0,2172,2235,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,1,70,104,80,362,165,422,156,404,9,18,0,0,0,0,0,0,0,0,4623,4904,5423,5792,4060,4382,205,1854,0.4,0,542,423,0,0,333,432,25,31,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,2,15,83,17,221,217,714,212,684,5,30,0,0,0,0,0,0,0,0,4636,5502,5323,5939,4063,4586,199,2365,0.4,0,317,545,0,0,154,194,23,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,2,16,168,12,214,246,1086,234,1040,12,46,3402,3397,2331,0,4468,34,0,65,3829,2947,4321,3476,2338,2908,640,2863,0.4,0,136,167,0,0,65,16,19,37,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,2,35,256,68,238,360,1571,338,1503,22,68,374,605,287,0,692,30,0,69,4252,4078,4394,4165,2606,3864,762,2967,0.4,0,121,320,0,0,57,88,13,43,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,2,28,148,115,335,484,2200,452,2093,32,107,477,827,285,0,1019,22,0,77,4673,5489,4373,5306,2934,4386,621,3210,0.4,0,231,252,0,0,51,43,13,43,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,3,13,174,95,353,502,2294,476,2172,26,122,2476,1204,352,0,3328,22,0,77,2743,6338,2639,6093,1823,4421,583,2652,0.4,0,80,269,0,0,0,0,4,52,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,3,54,186,45,229,485,2407,461,2283,24,124,849,1605,182,0,2272,8,0,91,2436,6850,2225,6386,1564,4444,58,1543,0.4,0,157,518,0,0,0,0,2,53,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,3,3,110,2,152,466,2387,441,2265,25,122,892,2117,116,0,2893,4,0,95,1892,6604,1725,6025,1132,4432,47,1217,0.4,0,129,617,0,0,15,15,1,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
221,2,3,70,11,133,343,2171,327,2058,16,113,672,1822,47,0,2447,2,0,97,1427,6326,1243,5607,910,4404,52,1314,0.4,0,155,748,0,0,12,21,0,55,44,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
