run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350,4313,5824,5785,3928,3899,2123,2569,0.2,0,176,215,0,0,2292,2205,28,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,0,129,129,242,299,352,427,333,411,19,16,0,0,0,0,0,0,0,0,4861,4836,5946,6017,4271,4218,2592,2672,0.2,0,224,185,0,0,455,352,28,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,265,124,170,349,738,882,707,848,31,34,0,0,0,0,0,0,0,0,5694,5867,5738,6247,4417,4501,0,595,0.2,0,929,638,0,0,110,148,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,0,15,0,83,770,947,731,906,39,41,3307,3484,2658,0,4133,38,0,61,5200,3030,5633,3604,3272,2983,1457,2523,0.2,0,161,128,0,0,92,39,32,24,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,78,44,140,398,1097,1370,1041,1304,56,66,524,621,0,437,708,0,35,64,5863,4396,5941,4557,4139,3994,1517,2976,0.2,0,202,228,0,0,34,0,29,26,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,95,102,126,382,1346,1901,1267,1817,79,84,839,1037,0,716,1160,0,37,62,6410,6096,6128,5866,4308,4372,1250,3277,0.2,0,238,274,0,0,50,52,27,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,88,223,135,311,1208,2131,1146,2035,62,96,3277,1137,823,0,3591,38,0,61,4864,6801,4651,6422,4091,4345,1460,3549,0.2,0,215,377,0,0,24,0,25,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,4,30,123,184,491,1222,2261,1164,2164,58,97,1228,1783,943,0,2068,36,0,63,5564,6854,5308,6638,4158,4353,1813,1949,0.2,0,238,234,0,0,21,39,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,154,57,146,281,1276,2387,1209,2261,67,126,1415,2560,1211,0,2764,37,0,62,6367,6389,5405,5895,4205,4280,0,659,0.2,0,795,661,0,0,0,0,27,29,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
34,2,0,34,0,87,1083,2084,1033,1980,50,104,1551,1725,1008,0,2268,38,0,61,5939,6201,5590,6025,4092,4283,1658,2725,0.2,0,294,231,0,0,39,0,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred10_adult0.csv
