run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350,4311,5562,5721,3947,3839,1643,3087,0.2,0,438,279,0.05,0,1926,1916,29,27,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,3,117,275,134,270,260,511,244,475,16,36,0,0,0,0,0,0,0,0,4483,4880,5217,6000,3996,4347,1717,2054,0.2,0,604,212,0.05,0,420,391,24,31,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,1,35,66,246,256,592,861,560,819,32,42,0,0,0,0,0,0,0,0,4784,5829,5103,6280,4217,4716,1016,1827,0.2,0,691,559,0.05,0,85,97,23,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,3,53,56,98,261,732,1124,693,1072,39,52,2899,3493,2218,0,4174,34,0,65,4445,3186,4593,3627,2763,3138,714,911,0.2,0,416,385,0.05,0,89,25,23,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,2,73,69,73,79,893,1326,838,1253,55,73,376,669,0,428,617,0,42,57,4750,4322,4533,4242,3331,4052,656,1834,0.2,0,471,516,0.05,0,0,35,20,36,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,2,52,28,70,290,939,1591,883,1509,56,82,601,871,483,0,989,31,0,68,5323,4934,4865,4717,3793,4390,1927,2496,0.2,0,398,277,0.05,0,24,60,22,34,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,2,131,295,199,129,1093,1831,1041,1736,52,95,2316,1107,617,0,2806,33,0,66,4245,5389,3838,5115,3275,4442,735,3039,0.2,0,389,292,0.05,0,0,14,16,40,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,3,45,110,51,421,883,1789,832,1705,51,84,882,1658,554,0,1986,26,0,73,4361,5219,3880,5078,3057,4410,1331,3195,0.2,0,455,167,0.05,0,0,0,14,42,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,1,106,319,108,202,932,1905,890,1813,42,92,1251,1711,625,0,2337,24,0,75,4156,5244,3713,4991,2652,4432,728,1815,0.2,0,390,306,0.05,0,50,12,10,46,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,1,44,82,72,208,977,2089,930,1971,47,118,1227,1559,425,0,2361,18,0,81,3855,5470,3296,4994,2409,4507,524,2173,0.2,0,470,565,0.05,0,0,16,7,48,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,0,20,19,62,336,930,2188,876,2060,54,128,991,1472,273,0,2190,13,0,86,3465,5661,3115,5396,2218,4474,695,2498,0.2,0,318,297,0.05,0,0,12,6,50,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
149,1,25,43,92,365,785,2406,747,2279,38,127,1044,1546,245,0,2345,12,0,88,3071,6216,2384,5451,2028,4542,0,606,0.2,0,596,856,0.05,0,16,0,5,51,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
