run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
185,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,4348,5701,5881,3928,3915,1459,3915,0.3,0,299,119,0.05,0,2149,2263,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,70,235,163,420,230,601,221,571,9,30,0,0,0,0,0,0,0,0,4606,5123,5522,6164,4112,4566,1202,3271,0.3,0,411,295,0.05,0,576,476,23,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,60,63,130,470,458,1194,436,1126,22,68,0,0,0,0,0,0,0,0,5014,6320,5478,7028,4392,4808,1827,4292,0.3,0,508,291,0.05,0,80,120,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,41,426,253,276,755,1942,708,1842,47,100,3293,3793,2441,0,4645,35,0,64,4738,4456,4888,4953,2931,4127,952,2765,0.3,0,433,217,0.05,0,58,45,15,41,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,26,168,123,313,946,2387,907,2257,39,130,407,778,289,0,896,25,0,74,5396,6153,5234,6317,3513,4645,1155,4388,0.3,0,404,242,0.05,0,34,59,17,39,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,35,138,166,607,1050,3157,1000,2996,50,161,584,1320,511,0,1393,27,0,72,6183,8086,5535,7839,4085,4637,1461,3809,0.3,0,560,335,0.05,0,0,72,23,33,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,2,89,276,158,308,1201,3337,1124,3179,77,158,2659,1964,955,0,3668,34,0,65,5003,9137,4643,8827,3403,4579,1284,2851,0.3,0,314,356,0.05,0,19,53,16,39,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,3,89,164,118,317,1184,3044,1120,2887,64,157,1153,2395,878,0,2670,26,0,73,5540,9393,5041,9226,3822,4528,1598,2688,0.3,0,462,204,0.05,0,19,15,21,35,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,1,96,333,169,151,1101,3158,1052,3016,49,142,1381,3192,1317,0,3256,32,0,67,6078,9110,5147,8658,4072,4501,591,1995,0.3,0,793,590,0.05,0,25,0,24,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
185,4,34,51,63,275,1045,2812,989,2664,56,148,1540,2901,1285,0,3156,35,0,64,5931,8477,5118,8033,4049,4511,576,2409,0.3,0,700,557,0.05,0,0,80,23,32,44,./data/twoIsl_chickPred/small/two_isl_chickpred30_adult5.csv
